fin_version;fin_scenario;0calmonth;fin_acc;value
FRC;BASE;20260701;A3.1;-827277818,8
FRC;BASE;20260801;A3.1;-837717047,84
FRC;BASE;20260901;A3.1;-848161786,86
FRC;BASE;20261001;A3.1;-858429565,86
FRC;BASE;20261101;A3.1;-997575023,35
FRC;BASE;20261201;A3.1;-1009404634,87
FRC;BASE;20270101;A3.1;-1020099763,48
FRC;BASE;20260701;L12;-90219100,01
FRC;BASE;20260801;L12;-90219100,01
FRC;BASE;20260901;L12;-90219100,01
FRC;BASE;20261001;L12;-90219100,01
FRC;BASE;20261101;L12;68030899,99
FRC;BASE;20261201;L12;68030899,99
FRC;BASE;20270101;L12;68030899,99
FRC;BASE;20260701;A3;13788586084,17
FRC;BASE;20260801;A3;13963110661,26
FRC;BASE;20260901;A3;14137727203,31
FRC;BASE;20261001;A3;14309380904,4
FRC;BASE;20261101;A3;16517331737,99
FRC;BASE;20261201;A3;16713619582,35
FRC;BASE;20270101;A3;16891119267,97
