0calmonth;fin_version;fin_scenario;fin_acc;value
20260701;FRC;BASE;PL1;1105530257,71
20260801;FRC;BASE;PL1;1280054834,79
20260901;FRC;BASE;PL1;1454579411,87
20261001;FRC;BASE;PL1;1626233112,96
20261101;FRC;BASE;PL1;1833334631,49
20261201;FRC;BASE;PL1;2030467784,63
20270101;FRC;BASE;PL1;0,0
20260701;FRC;BASE;PL4;-827277818,8
20260801;FRC;BASE;PL4;-837717047,84
20260901;FRC;BASE;PL4;-848161786,86
20261001;FRC;BASE;PL4;-858429565,86
20261101;FRC;BASE;PL4;-997575023,35
20261201;FRC;BASE;PL4;-1009404634,87
20270101;FRC;BASE;PL4;-1020099763,48
20260701;FRC;BASE;PL13;-90219100,01
20260801;FRC;BASE;PL13;-90219100,01
20260901;FRC;BASE;PL13;-90219100,01
20261001;FRC;BASE;PL13;-90219100,01
20261101;FRC;BASE;PL13;68030899,99
20261201;FRC;BASE;PL13;68030899,99
20270101;FRC;BASE;PL13;68030899,99
