period,region,scenario,version,revenue
20260101,MSK,FCT,V1,140000000
20260101,MSK,FCT,V2,145000000
20260101,MSK,PLN,V1,130000000
20260101,MSK,PLN,V2,135000000
20260101,SPB,FCT,V1,125000000
20260101,SPB,FCT,V2,130000000
20260101,SPB,PLN,V1,115000000
20260101,SPB,PLN,V2,120000000
20260101,EKB,FCT,V1,110000000
20260101,EKB,FCT,V2,115000000
20260101,EKB,PLN,V1,100000000
20260101,EKB,PLN,V2,105000000
20260201,MSK,FCT,V1,150000000
20260201,MSK,FCT,V2,155000000
20260201,MSK,PLN,V1,140000000
20260201,MSK,PLN,V2,145000000
20260201,SPB,FCT,V1,135000000
20260201,SPB,FCT,V2,140000000
20260201,SPB,PLN,V1,125000000
20260201,SPB,PLN,V2,130000000
20260201,EKB,FCT,V1,120000000
20260201,EKB,FCT,V2,125000000
20260201,EKB,PLN,V1,110000000
20260201,EKB,PLN,V2,115000000
20260301,MSK,FCT,V1,160000000
20260301,MSK,FCT,V2,165000000
20260301,MSK,PLN,V1,150000000
20260301,MSK,PLN,V2,155000000
20260301,SPB,FCT,V1,145000000
20260301,SPB,FCT,V2,150000000
20260301,SPB,PLN,V1,135000000
20260301,SPB,PLN,V2,140000000
20260301,EKB,FCT,V1,130000000
20260301,EKB,FCT,V2,135000000
20260301,EKB,PLN,V1,120000000
20260301,EKB,PLN,V2,125000000
