Ключ (ID),Текст (TXT),acc_type
A1,"Касса, средства на счетах НОСТРО",BS
A2,Кредиты банкам,BS
A3,"Кредиты, предоставленные некредитным организациям",BS
A3.1,Резервы по кредитам,BS
A4,Ценные бумаги (кроме указанных в пункте 5),BS
A5,Вложения инвестиционного характера в акции (доли в уставных капиталах) организаций и паи инвестиционных фондов,BS
A6,Прочие кредитные требования,BS
A7,Основные средства и капитальные вложения,BS
A8,Прочие активы (включая ЧИЛ),BS
A9,ИТОГО АКТИВЫ,BS
CF1,Объем текущей ликвидности (входящий),CF
CF2,Притоки,CF
CF3,Поступления по кредитному портфелю,CF
CF3.1,основной долг,CF
CF3.2,проценты,CF
CF4,Продажа активов,CF
CF5,Привлечение на внешнем рынке,CF
CF6,Рефинансирование долга и новые привлечения,CF
CF7,Привлечение в целях обеспечения буфера ликвидности,CF
CF8,"Депозиты ФНБ, Федерального казначейства, субсидии",CF
CF9,Оттоки,CF
CF10,Выплаты по внешним заимствованиям ,CF
CF10.1,основной долг,CF
CF10.2,проценты,CF
CF11,Выборка по кредитным соглашениям,CF
CF12,Долевое финансирование,CF
CF13,Обязательства по внутреннему долгу ,CF
CF13.1,основной долг,CF
CF13.2,проценты,CF
CF14,"Cредства клиентов, лоро (сальдо)",CF
CF15,"OPEX, налоги, спонсорство и благотворительность, капитальные вложения",CF
CF16,"Погашение депозитов ФНБ, Федерального казначейства",CF
CF17,Прочие операции (сальдо),CF
CF18,Сальдо притоков и оттоков за период,CF
CF19,Профицит/дефицит ликвидности накопленным итогом,CF
L1,"Депозиты за счет средств ФНБ, депозиты ФК",BS
L2,Средства банков,BS
L3,Средства клиентов,BS
L4,"Средства, привлеченные за счет выпусков долговых ценных бумаг (кроме векселей)",BS
L5,Итого платные ресурсы,BS
L6,Уставный капитал,BS
L7,Непокрытый убыток предшествующих лет,BS
L8,Полученные субсидии,BS
L9,"Переоценка финансовых инструментов, оцениваемых по справедливой стоимости через прочий совокупный доход, и переоценка основных средств и изменение справедливой стоимости финансового обязательства, обусловленное изменением кредитного риска",BS
L10,Прибыль/убыток за год,BS
L11,Итого собственные источники,BS
L12,Резервы по условным обязательствам кредитного характера,BS
L13,Прочие пассивы,BS
L14,ИТОГО ПАССИВЫ,BS
PL1,Процентные доходы,PL
PL2,Процентные расходы ,PL
PL3,Чистый процентный доход,PL
PL4,Восстановление (создание) резерва под ожидаемые кредитные убытки,PL
PL5,Чистый процентный доход после восстановления (создания) резерва под ожидаемые кредитные убытки,PL
PL6,Чистый комиссионный доход,PL
PL7,"Чистые доходы/(расходы) от первоначального признания финансовых инструментов, изменения договорных условий и досрочного погашения",PL
PL8,"Чистый доход от операций с иностранными валютами, производных финансовых инструментов",PL
PL9,Чистый доход от переоценки  средств в иностранной валюте,PL
PL10,Доходы от участия в других юридических лицах,PL
PL11,Чистые прочие доходы/расходы,PL
PL12,Чистый операционный доход до резервов,PL
PL13,Восстановление/(создание) прочих резервов и резервов под нефинансовые активы,PL
PL14,Чистый операционный доход ,PL
PL15,Административно-хозяйственные расходы,PL
PL16,Амортизация,PL
PL17,Налоги,PL
PL18,"Прибыль (убыток) (без учета пожертвования, спонсорства и благотворительности)",PL
PL19,Спонсорство и благотворительность,PL
PL20,Специальный проект (пожертвование),PL
PL21,Прибыль (убыток),PL
