Ключ (ID),fin_prod,Текст (TXT)
D0001,1,Амортизируемый кредит
D0002,2,Амортизируемый кредит
D0003,3,Амортизируемый кредит
D0004,4,Амортизируемый кредит
D0005,5,Амортизируемый кредит
D0006,6,Амортизируемый кредит
D0007,7,Амортизируемый кредит
D0008,8,Проектное финансирование
D0009,9,Проектное финансирование
D0010,10,Проектное финансирование
D0011,11,Проектное финансирование
D0012,12,Проектное финансирование
D0013,13,Проектное финансирование
D0014,14,Проектное финансирование
D0015,15,Проектное финансирование
D0016,16,Не присвоено
D0017,17,Не присвоено
D0018,18,Амортизируемый кредит
D0019,19,Амортизируемый кредит
D0020,20,Не присвоено
