fin_version;fin_scenario;0calmonth;key_rate;loan_rate;low_rate;upper_rate;;
FRC;BASE;202607;0.1425;0.1556;0.13965;0.14535;;
FRC;BASE;202608;0.1425;0.1556;0.13965;0.14535;;
FRC;BASE;202609;0.145;0.1456;0.1421;0.1479;;
FRC;BASE;202610;0.145;0.1456;0.1421;0.1479;;
FRC;BASE;202611;0.145;0.1456;0.1421;0.1479;;
FRC;BASE;202612;0.125;0.1356;0.11875;0.13125;;
FRC;BASE;202701;0.125;0.1156;0.11875;0.13125;;
FRC;BASE;202702;0.125;0.1156;0.1125;0.1375;;
FRC;BASE;202703;0.125;0.1156;0.1125;0.1375;;
FRC;BASE;202704;0.125;0.1156;0.1125;0.1375;;
FRC;BASE;202705;0.125;0.1156;0.1125;0.1375;;
FRC;BASE;202706;0.125;0.1156;0.1125;0.1375;;
FRC;BASE;202707;0.125;0.1156;0.1125;0.1375;;
FRC;BASE;202708;0.115;0.1156;0.1035;0.1265;;
FRC;BASE;202709;0.115;0.1156;0.0805;0.1495;;
FRC;BASE;202710;0.115;0.1156;0.0805;0.1495;;
FRC;BASE;202711;0.115;0.1156;0.0805;0.1495;;
FRC;BASE;202712;0.115;0.1156;0.0805;0.1495;;
FRC;BASE;202801;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202802;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202803;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202804;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202805;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202806;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202807;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202808;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202809;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202810;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202811;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202812;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202901;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202902;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202903;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202904;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202905;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202906;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202907;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202908;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202909;0.115;0.0956;0.0805;0.1495;;
FRC;BASE;202910;0.115;0.0956;0.0805;0.1495;;
