0date,key_rate,loan_rate
20260404,0.15,0.1756
20250717,0.2,0.1985
20250511,0.21,0.1985
20260307,0.16,0.1856
20260117,0.16,0.1956
20250907,0.18,0.1885
20251121,0.17,0.2056
20251031,0.17,0.2056
20250623,0.2,0.1985
20260227,0.16,0.1956
20250827,0.18,0.1985
20251209,0.17,0.1956
20260514,0.15,0.1756
20250518,0.21,0.1985
20260330,0.15,0.1856
20260429,0.15,0.1756
20250708,0.2,0.1985
20250930,0.17,0.1885
20251112,0.17,0.2056
20260108,0.16,0.1956
20250614,0.2,0.1985
20260202,0.16,0.1956
20251006,0.17,0.2056
20250802,0.18,0.1985
20251216,0.17,0.1956
20260523,0.15,0.1756
20250424,0.21,0.1985
20251218,0.17,0.1956
20260521,0.15,0.1756
20250426,0.21,0.1985
20250612,0.2,0.1985
20251004,0.17,0.2056
20251114,0.17,0.2056
20250928,0.17,0.1885
20260110,0.16,0.1956
20260328,0.15,0.1856
20250516,0.21,0.1985
20250710,0.2,0.1985
20251211,0.17,0.1956
20260512,0.15,0.1756
20250825,0.18,0.1985
20251029,0.17,0.2056
20260225,0.16,0.1956
20250621,0.2,0.1985
20260119,0.16,0.1956
20251123,0.17,0.2056
20250905,0.18,0.1885
20250719,0.2,0.1985
20260406,0.15,0.1756
20260305,0.16,0.1856
20250509,0.21,0.1985
20250626,0.2,0.1985
20260222,0.16,0.1956
20251018,0.17,0.2056
20250822,0.18,0.1985
20251204,0.17,0.1956
20260503,0.15,0.1756
20250412,0.21,0.1985
20250506,0.21,0.1985
20260310,0.16,0.1856
20260409,0.15,0.1756
20250728,0.18,0.1985
20250910,0.18,0.1885
20251124,0.17,0.2056
20260128,0.16,0.1956
20251011,0.17,0.2056
20250603,0.21,0.1985
20260215,0.16,0.1956
20250421,0.21,0.1985
20250815,0.18,0.1985
20251229,0.16,0.1956
20260416,0.15,0.1756
20260526,0.15,0.1756
20250705,0.2,0.1985
20250531,0.21,0.1985
20260319,0.16,0.1856
20260105,0.16,0.1956
20250919,0.17,0.1885
20251101,0.17,0.2056
20260107,0.16,0.1956
20251103,0.17,0.2056
20250917,0.17,0.1885
20260604,0.15,0.1656
20250707,0.2,0.1985
20260418,0.15,0.1756
20260317,0.16,0.1856
20250529,0.21,0.1985
20250423,0.21,0.1985
20251231,0.16,0.1956
20260524,0.15,0.1756
20250813,0.18,0.1985
20251009,0.17,0.2056
20260213,0.16,0.1956
20250601,0.21,0.1985
20251126,0.17,0.2056
20250908,0.18,0.1885
20260130,0.16,0.1956
20260308,0.16,0.1856
20250504,0.21,0.1985
20250730,0.18,0.1985
20260411,0.15,0.1756
20251206,0.17,0.1956
20260501,0.15,0.1756
20250820,0.18,0.1985
20250414,0.21,0.1985
20260220,0.16,0.1956
20250624,0.2,0.1985
20251016,0.17,0.2056
20251002,0.17,0.2056
20260206,0.16,0.1956
20250610,0.2,0.1985
20250428,0.21,0.1985
20251220,0.17,0.1956
20260519,0.15,0.1756
20250806,0.18,0.1985
20250712,0.2,0.1985
20260425,0.15,0.1756
20260326,0.15,0.1856
20250522,0.21,0.1985
20260112,0.16,0.1956
20251108,0.17,0.2056
20250926,0.17,0.1885
20250619,0.2,0.1985
20251027,0.17,0.2056
20251213,0.17,0.1956
20250831,0.18,0.1985
20260510,0.15,0.1756
20260303,0.16,0.1856
20250515,0.21,0.1985
20250721,0.2,0.1985
20251117,0.17,0.2056
20250903,0.18,0.1885
20260121,0.16,0.1956
